Distance,Minutes_Decimals,Total_Time,Total_Time_Hrs
5.2,44.43333333,44.43333333,0.7405555556
10.4,46.21666667,90.65,1.510833333
15.6,50.25,140.9,2.348333333
20.8,56.03333333,196.9333333,3.282222222
26,60.03333333,256.9666667,4.282777778
31.2,60.06666667,317.0333333,5.283888889
