Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.type"">Type</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.start_time"">Start Time</span>",Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.jump_count"">Jump Count</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.total_grit"">Total Grit</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_flow"">Avg Flow</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.flagged"">Flagged</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_elapsed_speed"">Avg Elapsed Speed</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.dirt_distance"">Dirt Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.newly_explored_distance"">Newly Explored Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.newly_explored_dirt_distance"">Newly Explored Dirt Distance</span>"
1921938522,"Oct 12, 2018, 2:50:51 AM",Monroe,Run,,4562,11.67,170.0,90,false,,activities/2057151871.fit.gz,86.18250274658203,,4562.0,4562.0,11671.7998046875,4.400000095367432,,172.7935791015625,,92.5,148.6999969482422,17.399999618530273,0.0025702975690364838,,,83.0,76.13240051269531,170.0,147.38009643554688,,,852.0,,10.0,90.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921938525,"Oct 9, 2018, 2:26:08 AM",Monroe,Run,,3385,7.20,162.0,43,false,,activities/2057151890.fit.gz,86.18250274658203,,3385.0,3385.0,7206.60009765625,2.799999952316284,,97.43692779541016,,92.5,148.6999969482422,10.800000190734863,0.0,,,78.0,73.15129852294922,162.0,141.9054412841797,,,513.0,,12.0,43.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921938542,"Oct 6, 2018, 4:09:00 PM","Kirkland, Marina Park / Kirkland, Juanita Bay Park",Run,,2264,5.55,167.0,47,false,,activities/2057151916.fit.gz,86.18250274658203,,2264.0,2174.0,5551.7001953125,3.5,,95.04702758789062,,7.199999809265137,60.599998474121094,21.200000762939453,-0.0018012500368058681,,,78.0,68.82076263427734,167.0,149.74021911621094,,,427.0,,9.0,47.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921938558,"Oct 6, 2018, 3:04:09 PM",Kirkland,Run,,1803,3.23,158.0,16,false,,activities/2057151930.fit.gz,86.18250274658203,,1803.0,1485.0,3234.89990234375,3.200000047683716,,13.520586013793945,,8.800000190734863,20.5,6.199999809265137,0.13601656258106232,,,75.0,60.04245376586914,158.0,135.92723083496094,,,216.0,,9.0,16.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921938588,"Oct 5, 2018, 2:26:15 AM",Monroe,Run,,3024,7.16,159.0,33,false,,activities/2057151961.fit.gz,86.18250274658203,,3024.0,3024.0,7166.0,3.0,,97.458984375,,92.5,148.6999969482422,11.0,0.011163828894495964,,,77.0,70.97254180908203,159.0,139.7601776123047,,,519.0,,9.0,33.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921938607,"Oct 3, 2018, 2:57:01 AM",Monroe,Run,,2999,7.25,161.0,41,false,,activities/2057151979.fit.gz,86.18250274658203,,2999.0,2999.0,7258.0,3.5999999046325684,,97.67484283447266,,92.5,148.6999969482422,10.600000381469727,0.0013777900021523237,,,78.0,71.56928253173828,161.0,138.9452362060547,,,511.0,,7.0,41.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921938618,"Oct 4, 2018, 1:11:46 AM",Kirkland,Run,,2090,5.70,165.0,40,false,,activities/2057151987.fit.gz,86.18250274658203,,2090.0,2090.0,5702.10009765625,3.799999952316284,,12.46900463104248,,49.20000076293945,56.29999923706055,9.300000190734863,0.005261219572275877,,,77.0,74.88032531738281,165.0,143.8760223388672,,,385.0,,11.0,40.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921938632,"Oct 7, 2018, 8:33:36 PM",Gold Bar,Run,,8302,18.19,167.0,141,false,,activities/2057151950.fit.gz,86.18250274658203,,8302.0,8199.0,18192.80078125,4.599999904632568,,661.6190795898438,,104.0999984741211,557.0,48.599998474121094,0.0010993359610438347,,,79.0,75.13860321044922,167.0,144.3473663330078,,,1447.0,,13.0,141.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921938689,"Sep 27, 2018, 3:28:39 AM",Monroe,Run,,3191,7.29,159.0,45,false,,activities/2057152041.fit.gz,86.18250274658203,,3191.0,3191.0,7297.2998046875,2.799999952316284,,97.60673522949219,,92.5,148.6999969482422,10.5,0.016444439068436623,,,76.0,70.9921646118164,159.0,143.0432586669922,,,522.0,,13.0,45.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921938716,"Sep 23, 2018, 7:21:22 PM","Gold Bar / Gold Bar, Wallace Falls State Park",Run,,2424,3.39,161.0,32,false,,activities/2057152091.fit.gz,86.18250274658203,,2424.0,2189.0,3394.699951171875,3.0999999046325684,,236.22032165527344,,104.30000305175781,337.0,49.099998474121094,6.854803085327148,,,65.0,51.41946029663086,161.0,142.3042755126953,,,368.0,,,32.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921938720,"Sep 22, 2018, 6:52:11 PM",Monroe,Run,,3150,7.22,159.0,29,false,,activities/2057152109.fit.gz,86.18250274658203,,3150.0,3150.0,7226.5,2.9000000953674316,,97.45720672607422,,92.5,148.6999969482422,11.399999618530273,0.0013837957521900535,,,77.0,73.38107299804688,159.0,138.1251220703125,,,514.0,,16.0,29.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
