Activity Date,Elapsed Time,Distance,Max Heart Rate,Elapsed Time,Moving Time,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Max Cadence,Average Cadence,Average Heart Rate,Average Watts,Calories,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.type"">Type</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.start_time"">Start Time</span>",Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.jump_count"">Jump Count</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.total_grit"">Total Grit</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_flow"">Avg Flow</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.flagged"">Flagged</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.newly_explored_distance"">Newly Explored Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.newly_explored_dirt_distance"">Newly Explored Dirt Distance</span>"
"Oct 4, 2018, 1:11:46 AM",2090,5.7,165,2090,2090,3.799999952,,12.46900463,,49.20000076,56.29999924,9.300000191,0.00526122,,77,74.88032532,143.8760223,,385,11,40,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oct 7, 2018, 8:33:36 PM",8302,18.19,167,8302,8199,4.599999905,,661.6190796,,104.0999985,557,48.59999847,0.001099336,,79,75.13860321,144.3473663,,1447,13,141,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 27, 2018, 3:28:39 AM",3191,7.29,159,3191,3191,2.799999952,,97.60673523,,92.5,148.6999969,10.5,0.016444439,,76,70.99216461,143.0432587,,522,13,45,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 23, 2018, 7:21:22 PM",2424,3.39,161,2424,2189,3.099999905,,236.2203217,,104.3000031,337,49.09999847,6.854803085,,65,51.4194603,142.3042755,,368,,32,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 22, 2018, 6:52:11 PM",3150,7.22,159,3150,3150,2.900000095,,97.45720673,,92.5,148.6999969,11.39999962,0.001383796,,77,73.381073,138.1251221,,514,16,29,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 30, 2018, 9:04:15 PM",8567,15.13,157,8567,7907,4.199999809,,613.2134399,,104.0999985,547.7000122,49.5,-0.000660773,,76,64.90807343,138.3140564,,1191,17,77,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 23, 2018, 8:12:02 PM",5291,7.88,183,5291,4346,3.799999952,,231.7476044,,103.3000031,529.0999756,50,-3.723775625,,70,55.07982254,131.1810608,,596,,37,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 22, 2018, 2:49:18 AM",3642,8.47,150,3642,3621,3.200000048,,119.4416122,,92.5,146.8999939,17.5,0.014162969,,78,72.87545013,136.0560608,,612,,27,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 21, 2018, 4:58:47 AM",3633,8.59,157,3633,3609,3.400000095,,119.3989105,,92.5,146.8999939,17,0,,79,73.82710266,136.3178101,,621,15,28,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 20, 2018, 12:50:39 AM",3444,8.48,168,3444,3444,3.099999905,,131.4736633,,92.5,152.8999939,17.29999924,0.010614459,,78,75.50057983,140.6326904,,615,19,36,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 18, 2018, 12:34:15 AM",2401,4.98,156,2401,2380,3.400000095,,132.0178375,,135.3999939,203,25.29999924,0.126330987,,75,66.41312408,137.890625,,392,16,20,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 16, 2018, 10:23:53 PM",4465,10.35,169,4465,4444,3,,153.3482056,,92.5,155.1999969,20.70000076,0.013519386,,77,73.72332001,142.4554291,,752,16,60,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 15, 2018, 10:10:05 PM",3732,9.58,163,3732,3732,3.299999952,,140.2587128,,92.5,152.8999939,14.80000019,0.0052179,,79,76.4202652,147.1029205,,695,17,72,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 15, 2018, 1:50:59 AM",3187,7.26,167,3187,3187,2.900000095,,97.49650574,,92.5,148.6999969,10.69999981,0.012385434,,78,73.25353241,144.3608398,,519,17,49,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 29, 2018, 1:41:20 AM",16224,33.31,167,16224,16053,3.099999905,,468.4763489,,-9.399999619,129.3999939,35.40000153,0.072050005,,78,75.55738831,142.5499725,,2293,21,215,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 14, 2018, 4:40:22 AM",3325,7.25,156,3325,3325,3.5,,97.57818604,,92.5,148.6999969,10.30000019,0.011026878,,77,72.5300827,139.2815857,,529,13,34,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 12, 2018, 1:36:13 AM",3340,7.21,163,3340,3340,3.200000048,,97.40059662,,92.5,148.6999969,10.39999962,0.00554316,,77,74.84306335,138.3402252,,506,14,35,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 2, 2018, 3:40:33 AM",3541,0,131,3541,3541,0,,0,,,,0,0,,,,121.1835632,,643,16,13,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 8, 2018, 12:24:12 AM",6233,9.15,167,6233,5920,5.599999905,,608.2025146,,162,768.7000122,50,-0.013113464,,77,54.75892258,141.3830719,,964,20,69,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 6, 2018, 12:31:46 AM",3520,9.42,171,3520,3520,5.099999905,,16.27957916,,49.70000076,55,5.900000095,-0.023349855,,78,72.85251617,143.3768158,,614,24,50,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aug 30, 2018, 1:04:24 AM",1797,4.98,161,1797,1751,4.199999809,,32.33229828,,9,40,10,0.006017571,,78,69.97200012,146.0417175,,349,22,35,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 7, 2018, 2:03:22 AM",8522,10.65,167,8522,6603,3.700000048,,66.82093048,,5.800000191,32.20000076,22,0.001876613,,76,53.69178391,120.5465469,,608,25,40,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aug 26, 2018, 2:20:47 AM",1908,3.84,149,1908,1892,2.700000048,,31.27118111,,92.5,111.9000015,9.399999619,0.026025401,,75,70.87625885,137.5452118,,261,17,16,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aug 22, 2018, 4:06:20 AM",3580,0,143,3580,3580,0,,0,,,,0,0,,,,121.1567001,,653,21,15,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aug 28, 2018, 4:12:29 AM",3764,8.56,164,3764,3757,3.5,,119.6252747,,92.5,147.1000061,17.5,0.011672698,,75,72.14753723,141.9786987,,625,17,48,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aug 28, 2018, 1:29:38 AM",4335,3.61,152,4335,3449,2.599999905,,104.0010223,,140,368.7999878,26.20000076,-3.312869787,,54,34.7341156,120.2058487,,344,21,15,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
